410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Brix Values,Class
0.942033867,1.304925121,1.058908966,1.34633566,0.965407268,0.782678268,0.956925397,0.631561604,0.472738724,0.253102332,0.383114884,0.121365481,0.243169904,0.330313261,0.456314729,0.463361796,0.32112646,0.407679374,12.375,1
1.078366551,1.572681577,1.368722677,1.613093115,1.26173809,0.936067493,1.308560677,1.106265169,1.008608609,0.591891257,0.513984387,0.248635041,0.252267706,0.359680726,0.434129331,0.378290059,0.293161998,0.390745423,12.4,1
1.164289193,1.49083659,1.179495857,1.403229581,1.01364274,0.874208437,1.002247497,0.814723882,0.659092009,0.355609915,0.482180467,0.206731636,0.305928817,0.392659433,0.512023273,0.548156457,0.338903601,0.431240929,12.5,1
1.107179622,1.489885916,1.19393155,1.558696277,1.19401587,0.907256831,1.009108713,0.888033113,0.853799648,0.465190787,0.358871765,0.215706369,0.312496369,0.392120328,0.482582264,0.471060534,0.363956523,0.459280864,12.53333333,1
1.105835168,1.372569781,1.026714857,1.316757101,0.991280075,0.785604779,0.839133597,0.64565494,0.563745626,0.337500097,0.338022382,0.174359051,0.298494873,0.354580987,0.44823148,0.474560102,0.342569888,0.437487678,12.55,1
1.269993603,1.571533996,1.118496433,1.530566209,1.108379793,0.888394941,1.015009399,0.900850254,0.768818998,0.387685445,0.419692653,0.17906575,0.283502544,0.373420255,0.47421918,0.474806068,0.309714721,0.413731405,12.55,1
1.150650288,1.450071447,1.45567807,1.582730958,1.415482385,1.270299615,1.324294436,1.147925644,0.791253102,0.485791473,0.203933151,0.214618742,0.183913828,0.251829377,0.260764273,0.16787006,0.226553717,0.305619864,12.6,1
1.045677901,1.411533941,1.095378443,1.36309668,0.955425854,0.85010767,1.053433331,0.691054333,0.592693021,0.216797767,0.501761024,0.107110318,0.300313485,0.411797438,0.535006742,0.619382651,0.278990825,0.380180727,12.6,1
1.376164176,1.506020513,0.998822086,1.379405861,0.940937238,0.752406642,0.914024619,0.724894057,0.528891163,0.349791067,0.391703437,0.177698703,0.252023525,0.334032423,0.451201026,0.47966304,0.308285257,0.408933048,12.65,1
1.087938155,1.370604623,1.118988965,1.230271951,0.936542436,0.840114512,0.802346285,0.580741015,0.568259284,0.252932483,0.471033749,0.140221384,0.338627367,0.429976165,0.541965777,0.600025884,0.352876383,0.439260577,12.65,1
1.256452583,1.496246576,1.432098082,1.510168699,1.368020696,1.303444947,1.23459455,1.0777575,0.715863233,0.650300148,0.182516663,0.292507201,0.103648997,0.173020783,0.146270368,0.04877547,0.182467383,0.278259593,12.66666667,1
0.845936684,1.195042182,1.004982685,1.159967402,0.838042787,0.645816217,0.639338299,0.401565597,0.351168121,0.160485843,0.243343176,0.090882341,0.222674195,0.279916501,0.395935456,0.425607846,0.303404978,0.382506487,12.7,1
1.23189124,1.5265808,1.202937179,1.449832417,1.119079604,0.924257984,1.120421118,0.880790738,0.763057612,0.563962007,0.627143028,0.259997671,0.254256082,0.364543133,0.496833765,0.466380157,0.329706039,0.413810222,12.725,1
1.415972897,1.57521228,1.048701183,1.418235099,0.968701011,0.777162149,0.920597256,0.741226777,0.664459229,0.369722562,0.469349095,0.183712565,0.258885321,0.360007929,0.468343662,0.478869232,0.311036689,0.413937448,12.75,1
1.145436352,1.541876045,1.354949755,1.58975978,1.309263357,1.041884263,1.248869888,1.08087379,0.969699944,0.525633995,0.541364048,0.2305747,0.263269872,0.359681277,0.42996186,0.363752832,0.287106398,0.394868178,12.76666667,1
0.885502444,1.33878801,1.093609091,1.430595169,1.052661889,0.806126014,0.937933917,0.673632921,0.568630036,0.278619179,0.318383126,0.127074962,0.269636284,0.344168763,0.457138995,0.454653919,0.31055059,0.404836443,12.85,1
1.054381971,1.289422383,1.004828021,1.180503528,0.943249887,0.705510797,1.013928674,0.739364873,0.480059514,0.360564205,0.382796444,0.148150507,0.102411379,0.196321742,0.30141611,0.273868797,0.157746941,0.259541946,12.86666667,1
1.216203211,1.612191122,1.274395316,1.677838873,1.282637339,0.978665261,1.134220146,1.099113111,1.052380839,0.692552363,0.582219357,0.292518127,0.318772751,0.424036904,0.531259973,0.510543642,0.355804099,0.455967824,12.875,1
1.275638464,1.458977903,1.111555616,1.323051534,0.984195064,0.784557883,0.758557895,0.552795426,0.450696054,0.23579634,0.29699568,0.134503796,0.281017551,0.350508093,0.45228153,0.500051447,0.310149364,0.401191452,12.9,1
1.04752101,1.482336155,1.270589382,1.521452028,1.15573884,0.955127534,1.241245768,0.920083775,0.720010621,0.381749034,0.415460561,0.192876582,0.276343914,0.368653828,0.479658975,0.451291994,0.333490734,0.423940219,12.9,1
1.319729965,1.601823023,1.143188739,1.562255,1.133158222,0.923531863,1.097212298,0.989191047,0.866918825,0.427792864,0.440946334,0.20160454,0.309325942,0.398885978,0.502897591,0.478109751,0.318250479,0.417697909,12.925,1
0.905801987,1.385505939,1.083771331,1.476821753,1.053936666,0.848707997,1.163991888,0.967057307,0.77722913,0.434212653,0.374891201,0.185165677,0.289147869,0.372679757,0.461648505,0.44262292,0.32582271,0.427862304,12.95,1
1.243309076,1.543619085,1.20705502,1.433703653,1.054283156,0.983162671,1.240439486,1.098133723,0.957170223,0.495369381,0.584162292,0.201826149,0.395383052,0.51881475,0.639652659,0.639320737,0.380639117,0.480395227,13.2,1
1.173490641,1.464450218,1.13811845,1.362181615,1.038801227,0.781968416,0.976568132,0.810082524,0.527716017,0.326619904,0.266932993,0.186765466,0.244123579,0.303375679,0.419443807,0.46925713,0.348464665,0.42320614,13.225,1
0.920884588,1.243510205,0.974877071,1.221424304,0.858974561,0.656297626,0.673420467,0.436568379,0.386918518,0.223546066,0.326471881,0.100794004,0.214827389,0.290265911,0.413864051,0.449786795,0.312519922,0.406008597,13.225,1
1.247289337,1.469306339,1.059848384,1.278542227,0.968409927,0.762582966,0.864599688,0.620456518,0.530164153,0.284554622,0.371026252,0.157543351,0.239073905,0.31653626,0.414389659,0.441390791,0.300529296,0.404280132,13.275,1
1.107872147,1.535487772,1.286960823,1.593166039,1.13565163,0.901925129,1.307153943,1.07490158,0.83559709,0.432056631,0.376009457,0.17873575,0.297880301,0.39706059,0.496895128,0.454721803,0.32889339,0.434250178,13.375,1
1.242835363,1.522612035,1.096154417,1.484056084,1.079438018,0.899771785,1.057922833,0.886536004,0.786839412,0.392969588,0.469537476,0.199436055,0.282270805,0.386513666,0.477217934,0.459610469,0.317680511,0.425110208,13.45,1
